2015,34,19.6,,,
2005,33.2,19.7,,,
1995,45.6,16.2,,,
1985,25.8,12.4,,,
1975,20.6,10.7,,,
1965,19.1,11.2,,,
1955,11.1,13.1,,,
1945,16.6,3.3,,,
1935,17.1,3.9,,,
1925,10.4,7,,,
1915,5.3,8.4,,,
1905,2.4,7.6,,,
1895,6,28,,,
